,ride_date,rides,ride_duration_sum,ride_duration_avg,temp_avg,temp_min,temp_max,pres_avg,rhum_avg
0,2018-01-28,79,2760.633333333333,35.39273504273504,27.050632911392405,25.1,27.4,1005.9481012658229,63.51898734177215
1,2018-01-29,269,4754.45,17.740485074626864,24.92639405204461,19.3,28.4,1007.5081784386617,72.19702602230483
2,2018-01-30,281,6023.45,21.51232142857143,24.7864768683274,19.6,27.6,1006.5911032028469,74.58718861209964
3,2018-01-31,262,5405.033333333334,20.629898218829517,24.461450381679388,20.4,27.9,1007.0095419847328,77.41984732824427
4,2018-02-01,285,5940.4,20.843508771929823,24.53157894736842,20.0,26.6,1007.4315789473684,77.70175438596492
5,2018-02-02,276,5455.083333333333,19.76479468599034,24.270652173913042,19.9,26.2,1006.8318840579709,78.40579710144928
6,2018-02-03,114,3483.133333333333,30.553801169590642,21.482456140350877,19.9,24.0,1006.2482456140351,91.8859649122807
7,2018-02-04,120,5109.516666666666,42.57930555555556,21.571666666666665,19.1,22.3,1006.7475,89.5
8,2018-02-05,283,6633.95,23.524645390070923,21.00600706713781,17.9,23.6,1007.2840989399294,87.66431095406361
9,2018-02-06,318,6340.583333333333,20.00184016824395,22.440251572327043,17.7,25.1,1008.046855345912,78.85849056603773
10,2018-02-07,249,3711.4166666666665,14.90528781793842,22.52289156626506,18.0,26.6,1009.2903614457831,79.09236947791165
11,2018-02-08,244,5110.033333333333,20.942759562841527,23.745491803278686,18.4,29.3,1010.0786885245902,75.49590163934427
12,2018-02-09,296,6053.25,20.45016891891892,24.810135135135134,19.1,27.9,1009.9706081081081,74.07770270270271
13,2018-02-10,147,4322.433333333333,29.404308390022678,24.198639455782313,19.7,27.1,1010.6727891156462,75.34013605442176
14,2018-02-11,172,7455.933333333333,43.3484496124031,25.622093023255815,18.4,29.5,1010.5029069767442,68.96511627906976
15,2018-02-12,181,7910.666666666667,43.70534069981584,26.01878453038674,18.2,30.4,1009.832596685083,63.18232044198895
16,2018-02-13,197,7044.0,35.756345177664976,26.13401015228426,17.9,30.8,1009.8812182741117,56.76142131979695
17,2018-02-14,240,6003.466666666666,25.014444444444443,27.5825,18.0,30.4,1010.7208333333333,50.69583333333333
